place,address
Joey Ramone Place,"325 Bowery Corner of the Bowery and 2nd Street, New York City, NY 10003-8962"
The Shed,"545 W 30th St, New York City, NY 10001-1309"
Modell's,"1293 Broadway, New York City, NY 10001-2910"
New Victory Theater,"209 West 42nd Street between Seventh and Eighth Avenues, New York City, NY 10036"
Westside Theatre,"407 W 43rd St, New York City, NY 10036-5330"
Elizabeth Street Garden,"Elizabeth Street, New York City, NY 10012"
United Palace,"4140 Broadway, New York City, NY 10033-3701"
Greenflea Flea Market,"410 Columbus Ave At P.S. 183, New York City, NY 10024-5178"
The Players Theatre,"115 Macdougal St, New York City, NY 10012-1202"
59E59 Theaters,"59 E 59th St, New York City, NY 10022-1104"
Victorian Gardens,"Avenue of the Americas & W 59th St Wollman Rink, New York City, NY 10019"
Japan Society,"333 E 47th St Btw. 1st and 2nd Aves, New York City, NY 10017-2399"
East River Waterfront Esplanade,"FDR Drive at 96th Street, New York City, NY 10075"
Dave's New york,"581 Avenue of the Americas entre W16Th et W17th, New York City, NY 10011-2021"
David Zwirner Gallery,"525 W 19th St, New York City, NY 10011-2808"
St. Peter's Church,"22 Barclay St near the World Trade Center, New York City, NY 10007-2705"
Pier 45,"Christopher St at Hudson River, New York City, NY"
Riverside Drive,"Riverside Drive, New York City, NY"
Barrow Street Theatre,"27 Barrow St, New York City, NY 10014-3823"
William Tecumseh Sherman Monument,"5th Ave Grand Army Plaza, between 59th and 60th Streets, New York City, NY 10118-4810"
Laura Pels Theater,"111 W 46th St, New York City, NY 10036-8502"
Holland Tunnel,"Between Manhattan and Jersey City, New York City, NY 07310"
The Church of St. Ignatius Loyola,"980 Park Ave, New York City, NY 10028-0805"
Malcolm Shabazz Harlem Market,"52 W 116th St, New York City, NY 10026-2509"
Fifth Avenue Presbyterian Church,"7 W 55th St, New York City, NY 10019-4902"
New York City Wine & Food Festival,"9 W 19th St, New York City, NY 10011-4224"
The Pond,"Central Park South between Fifth and Sixth Avenues, New York City, NY 10019"
St. Nicholas Park,"Between 128th and 141st Streets, New York City, NY 10031"
Fulton Fish Market,"South Street, New York City, NY 10038"
Hispanic Society of America,"613 W 155th St at Broadway, New York City, NY 10032-7501"
Museum of American Finance,"48 Wall Street, New York City, NY 10005-2903"
Bowery,"121 Wooster St, New York City, NY 10012-3857"
Mt Olivet Baptist Church,"Bl Malcom X Harlem, New York City, NY 10027"
The Jefferson Market Garden,"Entrance on Greenwich Avenue Between Sixth Avenue and West 10th Street, New York City, NY 10011-8300"
Society of Illustrators,"128 E 63rd St, New York City, NY 10065-7392"
Frank Gehry Building,"8 Spruce St 8 Beekman St, New York City, NY 10038-1556"
Alphabet City,"Avenues A, B, C, and D between Houston and 23rd, New York City, NY"
Conservatory Water,"5th Ave & E 74th St, New York City, NY 10021"
American Merchant Marines Memorial,"Battery Park Manhattan, New York City, NY"
Jefferson Market Library,"425 Avenue of the Americas, New York City, NY 10011-8427"
Statue of Confucius,"Confucius Plaza Bowery, New York City, NY"
CBS Building,"51 W 52nd St, New York City, NY 10019-6119"
Tom's Diner,"2880 Broadway, New York City, NY 10025-7848"
Canal Street Market,"265 Canal St, New York City, NY 10013-6010"
The National Arts Club,"15 Gramercy Park S, New York City, NY 10003-1705"
Queen of Hearts,"Pier 36, New York City, NY 11201"
Asia Society and Museum,"725 Park Ave, New York City, NY 10021-5025"
GemsNY,"20 W 47th St Suite 606, New York City, NY 10036-3303"
Ninth Avenue International Food Festival,"Ninth Avenue between 42nd and 57th Street, New York City, NY 10018"
City Hall Park Visitor Information Center,"Broadway at south end of City Hall Park, New York City, NY"
Samsung 837,"837 Washington St, New York City, NY 10014-1307"
Showfields,"11 Bond St, New York City, NY 10012"
Library Way,"41st Street, New York City, NY 10017"
Mount Neboh Baptist Church,"1883 Adam Clayton Powell Jr Blvd, New York City, NY 10026-2850"
Metropolitan Transportation Authority," 2 Broadway, New York, NY 10004"
Orchard Street,"96 Orchard St, New York, NY 10002"
Ladies Pavilion,"West side between 75th and 76th Streets, New York City, NY 10024"
Orpheum Theatre,"126 2nd Ave, New York City, NY 10003-8377"
American Express 11 Tears Memorial,"200 Vesey St American Express Headquarters, New York City, NY 10281-1013"
Foley Square,"111 Worth St Apt 4G, New York City, NY 10013-4017"
Christopher Park,"7th Avenue South, Christopher Street, New York City, NY 10014"
Rose Theater,"Lincoln Center, New York City, NY 10023-7905"
Pier 66 Maritime,"West 26th Street Pier 66 Hudson River Park, New York City, NY 10001"
The Museum of Interesting Things,"60 E 8th St Apt 12P, New York City, NY 10003-6539"
Minetta Lane Theatre,"18 Minetta Ln, New York City, NY 10012-1207"
Urbanspace - Broadway Bites,"Greeley Square Broadway, between 32nd and 33rd Street, New York City, NY"
The Governors Ball Music Festival,"1 Randalls Is Randall’s Island Park, New York City, NY 10035-5197"
Electric Zoo,"Randall's Island Park, New York City, NY 10035"
Hester Street Fair,"Hester and Essex Street, New York City, NY 10002"
John V. Lindsay East River Park,"East River Promenade, New York City, NY 10019"
Sloomoo Institute,"475 Broadway, New York City, NY 10013-2720"
Joan of Arc Memorial,"Riverside Drive and 93rd Street, New York City, NY"
Fotografiska New York,"281 Park Ave S, New York City, NY 10010-6125"
American Standard Building,"40 W 40th St, New York City, NY 10018-2602"
Church of the Transfiguration,"1 E 29th St at Fifth Avenue, New York City, NY 10016-7405"
The Immigrants,"South end of the Eisenhower Mall in Battery Park South of Castle Clinton, New York City, NY"
St. Vartan Armenian Cathedral,"630 2nd Ave, New York City, NY 10016-4806"
Museum of Comic and Cartoon Art MOCCA NYC,"128 E 63rd St, New York City, NY 10065-7303"
Lever House,"390 Park Ave, New York City, NY 10022-4608"
Saint Paul Chapel,"1160 Amsterdam Ave Morningside Heights Campus, New York City, NY 10027-7003"
Mmuseumm,"4 Cortlandt Aly Lower Manhattan, New York City, NY 10013-3503"
Graffiti Hall of Fame,"1573 Madison Ave Playground Of Jackie Robinson Educational Complex between Park and Madison, New York City, NY 10029-3819"
George M. Cohan Statue,"Father Duffy Square, New York City, NY"
El Museo del Barrio,"1230 Fifth Ave. at 104th Street, New York City, NY 10029"
Taglialatella Galleries,"229 10th Ave, New York City, NY 10011-4738"
Shrine of St. Elizabeth Ann Bayley Seton,"7 State St Church of Our Lady of the Holy Rosary, Between Pearl and Water Streets, New York City, NY 10004-1500"
Tudor City Greens,"25 Tudor City Pl, New York City, NY 10017-6819"
Leslie-Lohman Museum of Gay and Lesbian Art,"26 Wooster St, New York City, NY 10013-2227"
Korean War Veterans Memorial,"Battery Park, New York City, NY"
World Trade Center Transportation Hub,"290 Broadway, New York City, NY 10007-1823"
Alice Tully Hall,"1941 Broadway, New York City, NY 10023-6509"
Metropolitan Life Insurance Tower,"1 Madison Ave, New York City, NY 10010-3603"
"Sadigh Gallery Ancient Art, Inc","303 5th Ave, New York City, NY 10016-6601"
Rockefeller Plaza Manhattan New York City,"45 Rockefeller Plaza New York New York 10111 Rockefeller Centre, New York City, NY 10111"
Delacorte Clock,"5th Ave, New York City, NY 10118-4810"
Jean Dubuffet - Group of Four Trees,"Chase Manhattan Bank Plaza, New York City, NY"
The Drawing Center,"35 Wooster St, New York City, NY 10013-5300"
Cunard Building,"25 Broadway, New York City, NY 10004-1010"
Center for Jewish History,"15 W 16th St, New York City, NY 10011-6301"
Marilyn Monroe's subway grate,"Lexington Ave & E 52nd St South West corner, New York City, NY"
Hudson Street,"678 Hudson St, New York, NY 10014"
Church of Saint Agnes,"143 E 43rd St, New York City, NY 10017-4007"
The Episcopal Church of The Heavenly Rest,"2 E 90th St, New York City, NY 10128-0603"
Harlem Meer,"109th Street Next to Dana Discovery Center, New York City, NY 10029"
Dyckman Farmhouse Museum,"4881 Broadway (at 204th St), New York City, NY 10034-3101"
Holy Trinity Greek Orthodox Cathedral,"337 E 74th St, New York City, NY 10021-3792"
Our Lady of Pompeii,"25 Carmine St, New York City, NY 10014-4423"
Double Check,"Liberty St., New York City, NY 10006"
4 World Trade Center,"150 Greenwich St, New York City, NY 10007-2366"
Second Avenue Subway,"96th Street, New York City, NY"
Highbridge Park,"W 155 St and Dyckman St Edgecombe Av & Amsterdam Av, New York City, NY 10039"
St. Mark's-in-the-Bowery Church,"131 E 10th St, New York City, NY 10003-7504"
St. Luke's Theatre,"308 W 46th St, New York City, NY 10036-3801"
Katharine Hepburn Garden,"224 E 47th St, New York City, NY 10017-2102"
Marble Collegiate Church,"1 W 29th St, New York City, NY 10001-4596"
Rockaways,"90-14 Rockaway Beach Blvd Between 90th and 91st streets, New York City, NY"
Judd Foundation,"101 Spring St, New York City, NY 10012-3903"
Playwrights Horizons,"416 W. 42nd St., between 9th and 10th Aves, New York City, NY"
The Appel Room,"10 Columbus Cir, New York City, NY 10019-1158"
MoPi - Museum of Pizza,"MoPi - Museum of Pizza, New York City, NY"
Union Square Metronome,"14th Street 4th Avenue, New York City, NY 10009"
Hallett Nature Sanctuary,"6th Ave & W 59th St Just south of Wollman Rink, New York City, NY 10019"
Elevated Acre,"55 Water St Escalators outside of building, New York City, NY 10041-0004"
Memorial Baptist Church,"141 W 115th St, New York City, NY 10026-2999"
Main Street Park,"99 Plymouth St, Brooklyn, NY 11201"
Kelly Temple,"10 E 130th St Harlem, New York City, NY 10037-3707"
Lucille Lortel Theatre,"121 Christopher St, New York City, NY 10014-4204"
Tweed Courthouse,"City Hall Park, New York City, NY 10001"
Robert F. Kennedy Bridge,"Between Cypress Ave, The Bronx and Hoyt Ave, Queens, New York City, NY"
Salmagundi Museum of American Art,"47 5th Ave Between 11th and 12th streets, New York City, NY 10003-4679"
Pulitzer Fountain,"Grand Army Square 59th Street and 5th Avenue, New York City, NY"
Manhattan Waterfront Greenway,"2 World Financial Ctr, New York City, NY 10281-1008"
Father Duffy statue,"Father Duffy Square, New York City, NY"
Bartman Statue,"1211 6th Ave, New York City, NY 10036-8701"
Artists & Fleas,"490 Broadway Broome St, New York City, NY 10012-4415"
St. John the Baptist Church,"210 W 31st St, New York City, NY 10001-2802"
Kirk Theatre,"410 W 42nd St, New York City, NY 10036-6809"
75 1/2 Bedford Street,"75 1/2 Bedford St, New York City, NY 10014-4011"
Sara D Roosevelt Park,"E Houston St Between Chrystie & Forsyth St, New York City, NY 10002"
Daryl Roth Theatre,"101 East 15th Street at Union Square, New York City, NY 10003"
The Davenport Theatre,"354 W 45th St, New York City, NY 10036-3802"
Group of Bears Statue,"East 79th Street Pat Hoffman Friedman Playground, New York City, NY 10028"
Asphalt Green,"1750 York Avenue, New York City, NY 10128-6834"
Riverbank State Park,"679 Riverside Dr, New York City, NY 10031-5500"
Attractions4Us New York City,"24 State St, New York City, NY 10016"
Masjid Malcolm Shabazz Mosque,"102 W 116th St, New York City, NY 10026-2500"
Turtle Pond,"Central Park, New York City, NY"
Church of the Ascension,"5th Avenue at 10th Street 5th Avenue at West 10th Street, New York City, NY 10011-8862"
Cooper Union Foundation Building,"East 7th Street to Astor Place Cooper Square, New York City, NY 10003"
Museo de la Estatua de la Libertad,"Liberty Island, New York City, NY 10004"
"Machpelah Cemetery, site of Houdini's grave","8230 Cypress Hills St, New York City, NY 11385-6833"
Holy Innocents Church,"128 W 37th St West of Broadway, New York City, NY 10018-3602"
Church of St. Francis Xavier,"16th Street Between 5th and 6th Avenue, New York City, NY"
26th Street Flea Market,"6th Ave 6th Avenue & Broadway, New York City, NY 10011"
53rd Street Public Library,"18 West 53rd Street New York, NY, 10019, New York City, NY 10019"
One Chase Manhattan Plaza,"1 Chase Manhattan Plz Between Pine, Liberty, Nassau, and William Streets, New York City, NY 10005-1401"
Dante Park,"West 63rd Street Broadway, Columbus Avenue, New York City, NY 10023"
Nuyorican Poet's Cafe,"236 E 3rd St, New York City, NY 10009-7437"
Miriam and Ira D. Wallach Art Gallery,"1190 Amsterdam Ave. MC 5502 926 Schermerhorn Hall, New York City, NY 10025"
The Studio Museum in Harlem,"144 W 125th St, New York City, NY 10027-4423"
Carnegie Hill," 1155 Park Ave, New York, NY 10128"
Lady Liberty,"667 Madison Ave At 61st Street, New York City, NY 10065-8029"
Merkin Concert Hall,"Kaufman Center at Goodman House 129 W. 67th St., New York City, NY"
Aqueduct Race Track,"110th St @ Rockaway Blvd, New York City, NY"
John Jay Park,"FDR Dr., E 76 St. To E 78 St., New York City, NY 10075"
Stephen A. Schwarzman Building,"Fifth Avenue at 42nd Street, New York City, NY 10018-2788"
The Africa Center,"1280 5th Ave, New York City, NY 10029-8405"
Tribeca Film Festival,"375 Greenwich St Tribeca Film Center,2nd Floor, New York City, NY 10013-2376"
Arcadia Earth,"718 Broadway, New York City, NY 10003-9500"
Mickey The True Original Exhibition,"60 10th Ave, New York City, NY 10011-4714"
New York City Aids Memorial,"76 Greenwich Ave, New York City, NY 10011-7728"
Holy Cross Church,"329 W 42nd St, New York City, NY 10036-6907"
Grolier Club,"47 E 60th St Between Park and Madison Avenues, New York City, NY 10022-1098"
Roosevelt Island Historical Society Visitor Center Kiosk,"285 Main Street, Tram Plaza, New York City, NY 10044"
The San Remo,"145 Central Park W, New York City, NY 10023-6296"
American Irish Historical Society,"991 5th Ave, New York City, NY 10028-0101"
Fort Schuyler,"Wadhams St, Bronx, NY 10465"
Pearl River,"477 Broadway, New York City, NY 10013-5904"
Strivers' Row,"W. 138th and W. 139th Sts. between Adam Clayton Powell Jr. and Frederick Douglass Blvds. Harlem, New York City, NY"
The Art Students League of New York,"215 W 57th St, New York City, NY 10019-2104"
Poster House,"119 W 23rd St, New York City, NY 10011-2427"
Joker Stairs,"1165 Shakespeare Ave, New York City, NY 10452-3904"
Beresford,"211 Central Park W, New York City, NY 10024-6020"
Wagner Cove,"West 72nd street, New York City, NY 10024"
Christ Church,"520 Park Ave, New York City, NY 10065-8001"
Citicorp Center,"601 Lexington Ave, New York City, NY 10022-4611"
America's Response Monument,"97 12th Ave, New York City, NY 10014-1005"
Astor Place,"Astor Pl, New York City, NY 10003"
Fantasy Forest Amusement Park at the Flushing Meadows Carousel,"111th St and 55th Ave, New York City, NY 11368"
National Park Service - Information Center on Liberty Island,"1 Liberty Is, New York City, NY 10004-1418"
Throgs Neck Bridge," Throgs Neck Bridge, Bronx, NY 10465"
Barrymore Theater," 243 W 47th St, New York, NY 10036"
New York City Opera,"20 Lincoln Center Plz, New York City, NY 10023-6913"
"New Era Factory Outlet, Inc.","63 Orchard St just south of Grand, New York City, NY 10002-5414"
Church of Our Lady of Guadalupe,"328 W 14th St between Seventh and Eighth Avenues, in the Greenwich Village section of Manhattan in New York City., New York City, NY 10014-5002"
Ancient Playground,"85th Street right off of Fifth Avenue Just north of the Metropolitan Museum of Art, New York City, NY 10028"
Guardians Superhero Sculptures,"Three Bryant Park, New York City, NY"
Life Underground,"14th St and 8th Av Subway Station, New York City, NY"
The New York Mosque,"1711 3rd Ave, New York City, NY 10029-7303"
Ukrainian Museum,"222 E 6th St (Between 2nd and 3rd Avenues), New York City, NY 10003-8201"
Pier 34,"353 West St Hudson River Park, New York City, NY 10014-3674"
2120: An Art Experience at Portion Gallery,"2307 Broadway, New York City, NY 10024-4347"
Theodore Roosevelt Park,"200 Central Park W, New York City, NY 10024-5102"
Institute for the Study of the Ancient World,"15 E 84th St, New York City, NY 10028-0458"
Soldiers' and Sailors Monument New York,"171 Riverside Dr, New York City, NY 10024"
New York Society Library,"53 E 79th St, New York City, NY 10075-0290"
St. Jean Baptiste Roman Catholic Church,"184 E 76th St, New York City, NY 10021-2819"
Peace Fountain - Friedensbrunnen,"1047 Amsterdam Ave, New York City, NY 10025-1747"
City Cinema 123,"1001 3rd Ave Across from Bloomingdales between 59th and 60th, New York City, NY 10022-1207"
China Institute,"100 Washington St, New York City, NY 10006-1707"
De Witt Clinton Park,"West 52 Street and 11th Avenue, New York City, NY 10019"
Italian American Museum,"155 Mulberry St, New York City, NY 10013-4721"
National Academy of Design Museum,"1083 5th Ave, New York City, NY 10128-0114"
Christopher Columbus Statue,"West 59 St. South End of Mall, Columbus Circle, New York City, NY"
Alexander Hamilton Statue,"East Drive Opposite 83rd Street, New York City, NY"
Inwood Park," Payson Ave. &, Seaman Ave, New York, NY 10034"
Ralph Bunche Park,"1 Ave., E. 42 St. to E. 43 St., New York City, NY"
79th Street Boat Basin,"W 79th Street, New York City, NY 10024"
The Ansonia,"2109 Broadway, New York City, NY 10023-2138"
Skirball Center for the Performing Arts at NYU,"Washington Sq. Park South Kimmel Center for University Life, New York City, NY"
The Chanin Building,"122 E 42nd St, New York City, NY 10168-0002"
I Heart Radio Theater,"32 Avenue of the Americas, New York City, NY 10013-2473"
The Northern Dispensary,"165 Waverly Pl 2f, New York City, NY 10014-6837"
Church of the Holy Trinity,"88th Street, New York City, NY 10128"
Port Authority Bus Terminal," 625 8th Ave, Manhattan, NY 10109"
Castle Williams,"Governors Island New York Harbor, New York City, NY"
Sperone Westwater,"257 Bowery, New York City, NY 10002-1201"
The Broken Kilometer,"393 W Broadway, New York City, NY 10012-4359"
Foxwoods Theater,"214 W 43rd St, New York City, NY 10036-3912"
Logos Bookstore,"1575 York Ave Between East 83rd and 84th Streets, New York City, NY 10028-6006"
New York Grand Opera,"250 W 54th St, New York City, NY 10019-5515"
Canyon of Heroes,"Broadway, New York City, NY"
Grey Art Gallery NYU,"100 Washington Sq E, New York City, NY 10003-6688"
William Cullen Bryant Statue,"Near 42nd Street and Fifth Avenue Behind New York Public Library, New York City, NY 10017"
The Lowline Lab,"140 Essex St between Stanton and Rivington, New York City, NY 10002-2301"
Greater Zion Hill Baptist Church,"2365 Frederick Douglass Blvd, New York City, NY 10027-3628"
Giuseppe Garibaldi Statue,"Washington Square Park, New York City, NY"
Larry's Freewheeling,"301 Cathedral Pkwy New York, NY 10026, New York City, NY 10026"
