place,address
Macy's Thanksgiving Day Parade,"Herald Square 151 W 34th St, New York City, NY"
Gershwin Theater,"222 W 52nd St, New York City, NY 10019-5802"
Museum at Eldridge Street,"12 Eldridge St Between Canal and Division Streets, New York City, NY 10002-6204"
St. Paul's Chapel,"209 Broadway b/t Fulton Street & Vesey Street, New York City, NY 10007-2977"
Manhattan Bridge,"South Street and FDR Drive, New York City, NY 10002"
Riverside Park,"475 Riverside Dr, New York City, NY 10115-0002"
Stone Street Historic District,"550 Broad St, New York, NY 10004"
Little Italy,"Mulberry Street, New York City, NY 10013"
National Museum of the American Indian,"1 Bowling Grn, New York City, NY 10004-1415"
Hayden Planetarium,"200 Central Park W American Museum of Natural History, New York City, NY 10024-5102"
Chinatown,"Canal Street to Bayard Street, New York City, NY 10013"
The Jewish Museum,"1109 5th Ave, New York City, NY 10128-0118"
New World Stages,"340 W 50th St, New York City, NY 10019-6629"
St. Thomas Church,"1 W 53rd St, New York City, NY 10019-5401"
Merchant's House Museum,"29 E 4th St, New York City, NY 10003-7003"
Westfield World Trade Center,"185 Greenwich St, New York City, NY 10007-2383"
Richard Rodgers Theatre,"226 W 46th St, New York City, NY 10036-1408"
Solomon R. Guggenheim Museum,"1071 Fifth Ave. at 89th St., New York City, NY 10128"
42nd Street,"42nd Street, New York City, NY"
Jazz at Lincoln Center,"Broadway at 60th St Frederick P. Rose Hall, New York City, NY 10019"
Governors Island National Monument,"New York Harbor Ferry Terminal, New York City, NY 10004"
KGB Espionage Museum,"245 W 14th St, New York City, NY 10011-7129"
Rubin Museum of Art,"150 West 17th Street, New York City, NY 10011"
Times Square Church,"1657 Broadway, New York City, NY 10019-6700"
Madison Square Park,"Between 23rd and 26 streets and Madison and Fifth Avenues, New York City, NY 10010"
Chelsea,"23rd St, New York City, NY 10011"
Color Factory,"251 Spring St, New York City, NY 10013-1520"
Winter Garden Theatre,"1634 Broadway, New York City, NY 10019-6852"
Broadway Theatre,"1681 Broadway, New York City, NY 10019-5827"
Conservatory Garden,"5th Ave & 105th St, New York City, NY 10029"
Bethesda Fountain,"Midpark at 72nd St. Transverse Central Park, New York City, NY"
Cathedral Church of Saint John the Divine,"1047 Amsterdam Ave, New York City, NY 10025-1747"
Fort Tryon Park,"Riverside Drive to Broadway, West 192nd to Dyckman Street, New York City, NY 10040"
Meatpacking District,"West of Eighth Avenue, New York City, NY 10014"
Wall Street,"Wall Street, New York City, NY 10005"
The Shops & Restaurants at Hudson Yards,"20 Hudson Yards, New York City, NY 10001-2166"
Gerald Schoenfeld Theatre,"236 W 45th St, New York City, NY 10036-3901"
Penn Station,"8th Avenue and West 31st Street, New York City, NY 10001"
Columbus Circle,"Broadway & 59th Street, New York City, NY 10019"
Alice in Wonderland Statue,"76th Street and 5th Avenue near Conservatory Lake, New York City, NY 10021"
Herald Square,"1 Herald Square at 34th Street and Sixth Avenue, New York City, NY 10001-2902"
Ripley's Believe It or Not! Times Square,"234 W 42nd St, New York City, NY 10036-7215"
Park Avenue,"Manhattan 1049 Park Ave, New York City, NY 10028-1061"
Hudson Theatre,"139-141 W. 44th Street, New York City, NY 10036-4012"
Trump Tower,"725 Fifth Avenue, New York City, NY 10022-2519"
The Shops at Columbus Circle,"10 Columbus Cir Time Warner Center, New York City, NY 10019-1158"
Lunt-Fontanne Theatre,"205 W 46th St, New York City, NY 10036-1409"
The Met Breuer,"945 Madison Ave at 75th Street, New York City, NY 10021-2764"
Museum of Sex,"233 5th Ave, New York City, NY 10016-8733"
St Joseph's Chapel Catholic Memorial at Ground Zero,"385 So. End Avenue St. Joseph’s Chapel, New York City, NY 10280-1038"
Shubert Theatre,"225 W 44th St, New York City, NY 10036-3964"
Bethel Gospel Assembly,"1832 Madison Ave, New York City, NY 10035-2707"
St James Theatre,"Theater district, New York City, NY 10036-3910"
Al Hirschfeld Theatre,"302 W 45th St, New York City, NY 10036-3802"
Century 21,"22 Cortlandt Street, New York City, NY 10007-3107"
Charging Bull (Wall Street Bull),"26 Broadway, New York City, NY 10004-1703"
Federal Reserve Bank of New York,"44 Maiden Lane, New York City, NY 10045"
New York City Fire Museum,"278 Spring St, New York City, NY 10013-1405"
New York Harbor,"135 Edgewater St, Staten Island, NY 10305"
NFL Experience Times Square,"20 Times Square 7th Ave between 47th & 48th Streets, New York City, NY 10036"
Pier 17,"89 South St, New York City, NY 10038-3514"
"Cooper Hewitt, Smithsonian Design Museum","2 E 91st St, New York City, NY 10128-0669"
The Museum at FIT,"Seventh Avenue at 27th Street, New York City, NY 10001"
Central Park Zoo,"830 5th Ave, New York City, NY 10065-7001"
Fraunces Tavern Museum,"54 Pearl St, New York City, NY 10004-4300"
Museum of Illusions,"77 8th Ave Corner of 14th Street & 8th Avenue, New York City, NY 10014-1201"
General Grant National Memorial,"122nd St And Riverside Dr Riverside Park, New York City, NY 10027"
Seaport District NYC,"19 Fulton St, New York City, NY 10038"
Battery Park,"State Street and Battery Place, New York City, NY 10004"
Bow Bridge,"74th Street West of Bethesda Terrace, Connecting Cherry Hill and The Ramble, New York City, NY"
Upper East Side,"230 E 79th St Office 1, New York, NY 10075"
Queensboro Bridge,"59th Street and York Avenue, New York City, NY"
Theodore Roosevelt Birthplace National Historic Site,"28 E 20th St between Broadway and Park Avenue South, New York City, NY 10003-1311"
The Dakota,"1 W 72nd St, New York City, NY 10023-3486"
Pip's Island,"400 W 42nd St, New York City, NY 10036-6809"
TriBeCa,"230 E 79th St Office 1, New York, NY 10075"
Jacob Javits Convention Center,"655 W 34th St, New York City, NY 10001-1114"
Marquis Theatre,"211 W 45th St, New York City, NY 10036-3902"
Irish Hunger Memorial,"290 Vesey St, New York City, NY 10281-1032"
African Burial Ground National Monument,"Duane and Elk Streets next to 290 Broadway, New York City, NY"
Stephen Sondheim Theatre,"124 W 43rd St, New York City, NY 10036-6503"
New York Stock Exchange,"20 Broad St, New York City, NY 10005-2601"
Love Sculpture,"1359 Avenue of the Americas 55th Street & 6th Ave, New York City, NY 10105-0010"
Children's Museum of Manhattan,"212 W. 83d St., New York City, NY 10024"
Bethesda Terrace,"Mid-Park at 72nd Street, New York City, NY 10021"
Lower East Side,"465 Grand St, New York, NY 10002"
Walter Kerr Theater,"218 W 48th St, New York City, NY 10036-1424"
NYC Ferry,"110 Wall St, New York City, NY 10005"
Hamilton Grange National Memorial,"414 W 141st St At the intersection of Hamilton Terrace, New York City, NY 10031-9138"
Studio 54,"254 W 54th St, New York City, NY 10019-5516"
Imperial Theatre,"249 W 45th St, New York City, NY 10036-3902"
Unisphere,"111th St., Queens, NY Flushing Meadows Corona Park, Queens, New York City, NY"
Balto Statue,"East Drive at 67th Street, New York City, NY 10024"
Federal Hall,"26 Wall St, New York City, NY 10005-1996"
Wollman Rink,"830 5th Ave, New York City, NY 10065-7001"
Neil Simon Theatre,"250 W 52nd St, New York City, NY 10019-5802"
Mahayana Buddhist Temple,"133 Canal St Ground Floor, New York City, NY 10002-5033"
FDNY Memorial Wall,"124 Liberty St, New York City, NY 10006-1008"
The High Line Park,"Gansevoort St. To W. 30 St. bet. Washington St. and 11 Ave, New York City, NY 10011"
Chelsea Hotel,"222 W 23rd St, New York City, NY 10011-2393"
August Wilson Theater,"245 W 52nd St, New York City, NY 10019-5803"
East Village,"Between Houston Street, Bowery, & 14th Street, New York City, NY"
New York City Center,"131 W 55th St Between 6th and 7th, New York City, NY 10019-5306"
Museum of Arts and Design,"2 Columbus Circle, New York City, NY 10019-1800"
Fearless Girl,"8 Broadway Street, New York City, NY 10004-2207"
,
City Winery,"155 Varick St Between Spring and Vandam Streets, New York City, NY 10013-1106"
International Center of Photography Museum,"79 Essex St, New York City, NY 10002"
Belvedere Castle,"79th Street Mid Central Park, New York City, NY 10021"
Museum of Chinese in  America,"215 Centre St, New York City, NY 10013-3601"
FDNY Fire Zone,"34 W 51st St, New York City, NY 10020-1600"
The Village Halloween Parade,"6th Avenue North of Spring Street, New York City, NY 10014"
National Museum of Mathematics,"11 E 26th St, New York City, NY 10010-1402"
Ambassador Theatre,"219 W 49th St, New York City, NY 10019-7404"
Franklin D. Roosevelt Four Freedoms Park,"1 FDR Four Freedoms Park Roosevelt Island, New York City, NY 10044"
Hope Sculpture,"810 7th Ave b/t 53rd St & 52nd St, New York City, NY 10019-5818"
Governors Island,"Craig Road North, New York City, NY"
Music Box Theatre,"239 W 45th St, New York City, NY 10036-3902"
Ed Sullivan Theater,"1697 Broadway, New York City, NY 10019-5904"
Booth Theatre,"222 W 45th St, New York City, NY 10036-3996"
New York City Subway,"130 Livingston Street, Brooklyn, New York City, NY 10004-3357"
George Washington Bridge,"179th Street and Riverside Drive, New York City, NY 10033"
Riverside Church,"Riverside Drive at 120th Street 91 Claremont Ave, New York City, NY 10027-5706"
Williamsburg Bridge,"Delancey St, New York City, NY 11104"
"Banksy's ""Hammer Boy""","233 W 79th St, New York City, NY 10024-6205"
David H. Koch Theater,"20 Lincoln Center Plz adjacent to the Metropolitan Opera House and David Geffin Hall, New York City, NY 10023-6913"
Lincoln Square,"Columbus Ave and Broadway, New York City, NY"
Stage 42,"422 W 42nd St, New York City, NY 10036-6832"
Eugene O'Neill Theatre,"230 W 49th St, New York City, NY 10019-7405"
Temple Emanu-El,"1 E 65th St At Fifth Ave., New York City, NY 10065"
Daily News Building,"220 E 42nd St, New York City, NY 10017-5806"
Inwood Hill Park,"Dyckman St Manhattan, New York City, NY 10034"
Vivian Beaumont Theatre,"150 W 65th St, New York City, NY 10023-6916"
The Public Theater,"425 Lafayette St, New York City, NY 10003-7021"
Greater Refuge Temple,"2081 Adam Clayton Powell Jr Blvd, New York City, NY 10027-4931"
Duffy Square,"Between 45th and 47th Streets, Broadway and Seventh Avenue, New York City, NY 10036"
Palace Theatre,"1564 Broadway, New York City, NY 10036-1542"
New York City Hall,"Broadway and Murray St City Hall Park, New York City, NY 10007"
Essex Street Market,"88 Essex St, New York City, NY 10002-3809"
Circle In The Square Theatre,"1633 Broadway, New York City, NY 10019-6708"
Brooks Atkinson Theatre,"256 W 47th St, New York City, NY 10036-1411"
First Corinthian Baptist Church,"1912 Adam Clayton Powell Jr Blvd, New York City, NY 10026-2815"
Jacqueline Kennedy Onassis Reservoir,"85th Street to 96th Street, New York City, NY 10128"
Chelsea Piers Sports & Entertainment Complex,"Hudson River, Piers 59-62 Between 17th And 23rd Streets, New York City, NY 10011"
Koreatown,"32nd Street, New York City, NY"
Manhattan Mall,"6th Ave. and 33rd St., New York City, NY 10001"
Museum Mile,"Fifth Avenue From 82nd to 105th Streets, New York City, NY"
Easter Parade,"5th Ave, New York City, NY 10118-4810"
Nederlander Theater,"208 W 41st St, New York City, NY 10036-7203"
Time Warner Center,"10 Columbus Cir, New York City, NY 10019-1158"
Rose Mansion,"111 W 32nd St, New York City, NY 10001-3206"
David Geffen Hall,"10 Lincoln Center Plz, New York City, NY 10023-6912"
Houdini Museum of New York at Fantasma Magic,"213 W 35th St Suite 401, New York City, NY 10001-1903"
New Museum of Contemporary Art,"235 Bowery, New York City, NY 10002-1218"
Convent Avenue Baptist Church,"420 W 145th St, New York City, NY 10031-5202"
Red Cube,"Marine Midland Plaza 140 Broadway, New York City, NY"
Trump Rink in Central Park,"59th St and 6th Ave Central Park, New York City, NY 10021"
Greenacre Pocket Park,"51st Street between 2nd and 3rd Avenues Between 2nd and 3rd Avenues, New York City, NY 10022-6502"
Sixth Avenue (Avenue of the Americas)," Burlington, 707 6th Ave, New York, NY 10010"
Fulton Center,"200 Broadway Between John and Fulton Streets, New York City, NY 10038-2542"
Joyce Theater,"175 8th Ave, New York City, NY 10011-1694"
General Electric Building,"6th Ave., and 49th and 50th Sts., New York City, NY 10112-0015"
St. Bartholomew's Church,"109 E 50th St at Park Ave., New York City, NY 10022-6804"
Central Park's Literary Walk,"66th St To 72nd St Central Park, New York City, NY 10022"
The Juilliard School,"60 Lincoln Center Plz, New York City, NY 10023-6500"
Belasco Theatre,"111 W 44th St, New York City, NY 10036-4012"
Hudson River Greenway,"Battery Park to Little Red Lighthouse, New York City, NY"
New York City Supreme Court,"60 Centre St, New York City, NY 10007-1402"
Artists & Fleas at Chelsea Market,"West 15th St. at 10th Ave., New York City, NY 10011"
New York University,"70 Washington Sq S, New York City, NY 10012-1019"
Grand Masonic Lodge of New York,"71 W 23rd St, New York City, NY 10010-4102"
Chelsea Flea Market,"W. 25th St. Btwn Sixth & Broadway, New York City, NY 10010"
H&M,"1293 Broadway, New York City, NY 10001-2910"
Longacre Theatre,"220 W 48th St, New York City, NY 10036-1424"
Hearst Tower,"300 W 57th St, New York City, NY 10019-3741"
ABC Carpet & Home,"881 & 888 Broadway, New York City, NY"
Holographic Studios,"240 E 26th St, New York City, NY 10010-2436"
Mount Vernon Hotel Museum & Garden,"421 E 61st St, New York City, NY 10065-8736"
Arthur Ashe Stadium,"124-02 Roosevelt Ave, New York City, NY 11368"
St. Patrick's Day Parade New York City,"W 44th St, New York City, NY"
New York International Auto Show,"655 W 34th St Jacob Javits Convention Center, New York City, NY 10001-1114"
The Art of the Brick by Nathan Sawaya,"226 W 44th St Discovery Times Square, New York City, NY 10036-3906"
Carl Schurz Park,"E. 84th to E. 90th St. between East End Ave. and East River, New York City, NY"
Bernard B. Jacobs Theatre,"242 W 45th St, New York City, NY 10036-3901"
Gapstow Bridge,"62nd Street, New York City, NY 10019"
Barrymore Theatre,"243 W 47th St, New York City, NY 10036-1496"
New York Comic-Con,"655 W 34th St Jacob Javits Convention Center, New York City, NY 10001-1114"
Ghostbusters Building,"55 Central Park W, New York City, NY 10023-6076"
Little Red Lighthouse,"Fort Washington Park Hudson River Greenway under the Manhattan side of the George Washington Bridge, New York City, NY 10033"
Winter Garden,"200 Vesey St, New York City, NY 10281-1013"
Bowling Green,"Broadway & Whitehall Street, New York City, NY 10004"
Lyceum Theatre,"149 W 45th St, New York City, NY 10036-4042"
South Street Seaport Museum,"12 Fulton St, New York City, NY 10038-2109"
The Ramble,"79th St Transverse, New York City, NY 10024"
Children's Museum of the Arts,"103 Charlton St, New York City, NY 10014-3645"
Broadhurst Theatre,"235 W 44th St, New York City, NY 10036-3907"
Morningside Park,"Morningside Avenue at 110th Street, New York City, NY 10027"
Shakespeare Garden,"W. Park Dr. and 79th St. Transverse, New York City, NY 10024"
Paley Park,"3 E 53rd St, New York City, NY 10022-4200"
Grace Church,"802 Broadway at 10th Street, New York City, NY 10003-4831"
Alleva Dairy,"188 Grand St, New York City, NY 10013-3729"
Canaan Baptist Church of Christ,"132 W 116th St, New York City, NY 10026-2520"
American Airlines Theater,"227 W. 42nd St. Between 7th and 8th Aves, New York City, NY"
Astor Place Theatre,"434 Lafayette St, New York City, NY 10003-6918"
Park Avenue Armory,"643 Park Ave, New York City, NY 10065-6122"
MetLife Building,"200 Park Ave, New York City, NY 10166-0005"
Trinity Church Cemetery & Mausoleum,"770 Riverside Dr, New York City, NY 10032-7535"
Sotheby's,"1334 York Ave, New York City, NY 10021-4806"
34th Street,"34th Street, New York City, NY"
Rockefeller Park,"North end of Battery Park City West of River Terrace, New York City, NY 10280"
Holcombe Rucker Park,"280 W 155th St, New York City, NY 10039-1300"
Central Synagogue,"652 Lexington Ave, New York City, NY 10022-4533"
Morris-Jumel Mansion,"65 Jumel Ter Washington Heights, New York City, NY 10032-5360"
Gracie Mansion,"East 88th Street and East End Avenue, New York City, NY 10128"
The Pershing Square Signature Center,"480 W 42nd St, New York City, NY 10036-6805"
Hans Christian Andersen Statue,"E 74th St, New York City, NY 10021"
Paley Center for Media,"25 W 52nd St, New York City, NY 10019-6104"
Golden Theatre,"252 W 45th St, New York City, NY 10036-3901"
Agora Gallery,"530 W 25th St, New York City, NY 10001-5516"
T.J. Maxx,"407 E 59th St, New York City, NY 10022-1502"
James A. Farley Post Office,"421 8th Ave, New York City, NY 10001"
Cort Theatre,"138 W 48th St, New York City, NY 10036-1579"
Fred F. French Building,"551 5th Ave, New York City, NY 10176-0001"
Lincoln Tunnel,"500 J F Kennedy Blvd E, New York City, NY"
The Sphere,"Battery Park, New York City, NY 10004"
Church of Saint Joseph of the Holy Family,"405 West 125 Street, New York City, NY 10027-4201"
New York Public Library for the Performing Arts,"40 Lincoln Center Plaza at Amsterdam Avenue, New York City, NY 10023-7486"
Cleopatra's Needle,"Upper East Side at 81st Street. Central Park, New York City, NY"
Church of St. Francis of Assisi,"135 W 31st St, New York City, NY 10001-3403"
Seventh Avenue,"Between West 26th Street and 42nd Streets, New York City, NY"
Skyscraper Museum,"39 Battery Pl (at Nassau St.), New York City, NY 10280-1501"
Stonewall National Monument,"West 4th Street, New York City, NY 10014"
Museum of the American Gangster,"80 Saint Marks Pl, New York City, NY 10003-8194"
City Hall Park,"43 Park Row City Hall, New York City, NY 10038-1508"
Kinokuniya Book Stores of America,"1073 Avenue of the Americas, New York City, NY 10018-3701"
Channel Gardens,"600 5th Ave Between 49th and 50th Sts., New York City, NY 10020-2302"
Delacorte Theater,"81 Central Park West, New York City, NY 10023"
New York City Criminal Court,"100 Centre St, New York City, NY 10013-4308"
Abyssinian Baptist Church,"132 Odell Clark Pl, New York City, NY 10030-2303"
American Folk Art Museum,"2 Lincoln Square Columbus Avenue between 65th and 66th Streets, New York City, NY 10023-6229"
Sony Hall,"235 W 46th St, New York City, NY 10036-1409"
The High Bridge,"Amsterdam Ave. & West 173rd St Highbridge Park, New York, NY 10033"
Randall's Island Park,"20 Randalls Island Park, New York City, NY 10035-5197"
Castle Clinton National Monument,"26 Wall St Battery Park, New York City, NY 10005-1996"
New York Public Library - Bloomingdale Library,"150 W 100th St, New York City, NY 10025-5145"
Helen Hayes Theatre,"240 W 44th St, New York City, NY 10036-3906"
Gramercy Park,"20TH/21ST Lexington Ave, New York City, NY 10010-3609"
Greeley Square Park,"Broadway, Ave of Americas bet. W 32 St and W 33 St, New York City, NY"
Times Square Countdown,"1560 Broadway, New York City, NY 10036-1537"
Rose Center for Earth and Space,"American Museum of Natural History, New York City, NY 10024"
Nicholas Roerich Museum,"319 W 107th St, New York City, NY 10025-2799"
The Kneeling Fireman,"6 E 43rd St Between Madison and Fifth, New York City, NY 10017-4609"
Cherry Lane Theatre,"38 Commerce St, New York City, NY 10014-3755"
Diamond District,"Ave of the Americas & W 47th St, New York City, NY 10036"
Irish Repertory Theatre,"132 W 22nd St, New York, NY 10011"
NY Waterway,"459 12th Ave, New York, NY 10001"
Algonquin Hotel,"59 W 44th St, New York City, NY 10036-6638"
The Green Room 42,"570 10th Ave, New York City, NY 10036-3001"
The New York Earth Room,"141 Wooster St, New York City, NY 10012-3163"
The Annex / Hell's Kitchen Flea Market,"39th Street between 9th and 10th Avenues, New York City, NY"
The Mall,"Midpark between 66th and 72nd Sts., New York City, NY 10022"
Dalmatian and Taxi Sculpture,"424 E 34th St, New York City, NY 10016-4972"
Scandinavia House,"58 Park Ave Between 38-37 Streets, New York City, NY 10016-3007"
Ford Foundation Building,"321 E 42nd St, New York City, NY 10017-5908"
Zuccotti Park,"Liberty St., New York City, NY 10006"
New York Yacht Club,"37 W 44th St, New York City, NY 10036-6613"
Heckscher Playground,"65th St Transverse, New York City, NY 10019"
Sutton Place Park,"East River between 56 and 57, New York City, NY"
Town Hall,"123 W 43rd St, New York City, NY 10036-6507"
Columbus Park,"67 Mulberry St Baxter St, New York City, NY 10013-4331"
LuminoCity Festival,"Randall's Island Park, New York City, NY 10035"
Seagram Building,"375 Park Ave S, New York City, NY 10016-8801"
United States Custom House,"1 Bowling Grn, New York City, NY 10004-1415"
Obscura Antiques & Oddities,"207 Avenue a, New York City, NY 10009-3474"
The National Jazz Museum in Harlem,"104 E 126th St between Lenox and 5th Aves., New York City, NY 10035-1621"
Grand Bazaar NYC,"100 West 77th Street Corner of Columbus Avenue, New York City, NY 10024-6902"
Church of Saint Mary the Virgin,"139 W 46th St, New York City, NY 10036-8502"
The American Kennel Club Museum of the Dog,"101 Park Ave, New York City, NY 10178-0002"
Gagosian Gallery,"555 W 24th St, New York City, NY 10011-1104"
PlayStation Theater,"1515 Broadway, New York City, NY 10036-8901"
Tudor City,"310 E 42nd St, New York, NY 10017"
Titanic Memorial Park,"Pearl & Fulton Street South Street Seaport, New York City, NY 10038"
Tiffany Street Clock at 5th Ave.,"200 5th Ave, New York City, NY 10010-3302"
Hello Panda Festival,"123-01 Roosevelt Ave Citi Field, New York City, NY 11368"
Mother African Methodist Episcopal Zion Church,"140 W 137th St # 6, New York City, NY 10030-2502"
Church of St. Paul the Apostle,"405 W 59th St, New York City, NY 10019-1104"
