id,lng,lat,depth,order
780,-87.6499182,41.9618431,13,30713
781,-87.6498239,41.9584936,1,17745
782,-87.64939,41.9682637,1,6806
783,-87.6501091,41.9682513,2,12259
784,-87.6548231,41.9681949,1,5375
785,-87.6500804,41.9673552,3,19173
786,-87.6519922,41.9673359,1,14
787,-87.6500511,41.9664383,2,13691
788,-87.6519816,41.966413,1,15
789,-87.6529322,41.9664036,1,16
790,-87.6548018,41.9663771,2,13692
791,-87.6529735,41.9673052,1,17
792,-87.6548123,41.9672697,4,23541
793,-87.6575441,41.967239,4,25340
794,-87.6586388,41.9672225,8,27936
795,-87.6611293,41.9671798,4,24136
796,-87.661022,41.9653426,5,26253
797,-87.6596264,41.9653638,3,20819
798,-87.6588451,41.9653802,1,5376
799,-87.6595785,41.9617213,3,15926
800,-87.6609825,41.9635243,1,6807
801,-87.6663484,41.9634504,3,22519
802,-87.6724725,41.9633741,6,26809
803,-87.6745705,41.963343,1,15927
804,-87.6790178,41.9632792,8,28511
805,-87.6624075,41.9653312,9,29390
806,-87.662508,41.9616832,3,18519
807,-87.6637321,41.9618912,1,2948
808,-87.6641234,41.9671341,2,15928
809,-87.6638461,41.965306,1,14889
810,-87.6637531,41.9634881,6,25134
811,-87.6663547,41.9689189,1,5377
812,-87.6657838,41.9670932,1,8362
813,-87.6654325,41.9652822,7,27077
814,-87.6650596,41.9634732,2,13693
815,-87.6649315,41.9616517,1,7944
816,-87.6595964,41.9629879,2,10449
817,-87.6499698,41.9636778,1,7945
818,-87.6499938,41.9645325,2,14890
819,-87.6547588,41.9626919,1,7946
820,-87.6499436,41.9627474,5,24137
821,-87.6523935,41.9654567,2,15929
822,-87.6523754,41.9644901,1,2949
823,-87.6523638,41.9636332,3,19775
824,-87.6523531,41.9627228,2,18520
825,-87.6523399,41.9618002,4,22887
826,-87.6523093,41.9607092,1,7947
827,-87.6513274,41.9584784,7,27198
828,-87.6744526,41.9797518,5,26402
829,-87.6721688,41.9797877,2,15930
830,-87.6697657,41.9798254,3,19776
831,-87.6682866,41.9798486,8,28734
832,-87.6648502,41.9799026,14,30856
833,-87.661247,41.9799592,2,19777
834,-87.6599725,41.9799792,10,29909
835,-87.6565098,41.9800314,3,19174
836,-87.6550958,41.9800548,1,9093
837,-87.6551422,41.9818799,6,27199
838,-87.656565,41.9818595,8,28197
839,-87.6600178,41.9818049,13,30703
840,-87.6624992,41.9817665,1,10450
841,-87.6649031,41.9817293,3,22141
842,-87.6684298,41.9816747,6,27843
843,-87.6722211,41.981616,4,23542
844,-87.6745564,41.9815799,1,5378
