id,lng,lat,depth,order
47370,-73.8704006,40.7622028,1,12790
47371,-73.8667545,40.7612521,2,16317
47372,-73.8613978,40.7600094,1,8690
47373,-73.8549694,40.7570916,3,36972
47374,-73.8552523,40.7576211,1,24152
47375,-73.8558038,40.7544172,5,47138
47376,-73.8631373,40.7443338,2,24008
47377,-73.8630096,40.744594,3,37821
47378,-73.8733649,40.7425112,3,40623
47379,-73.8519332,40.7559757,3,36973
47380,-73.8830777,40.8279048,2,22073
47381,-73.88283,40.8278961,1,8691
47382,-73.8042898,40.7089197,2,23194
47383,-73.9273189,40.7764849,1,12791
47384,-73.9273771,40.7764316,5,41755
47385,-73.9359108,40.7678709,1,9965
47386,-73.885107,40.8543507,2,24009
47387,-73.9116161,40.6197185,1,9966
47388,-73.9117787,40.619869,2,17873
47389,-73.9146063,40.6197098,2,32772
47390,-73.9466737,40.7532651,3,40004
47391,-73.9475836,40.7536599,1,12792
47392,-73.9483949,40.7540114,5,43201
47393,-73.9493191,40.7542683,1,15866
47394,-73.9458631,40.7529191,1,14226
47395,-73.9554788,40.7376199,1,15867
47396,-73.9553711,40.7380005,3,29792
47397,-73.9555591,40.7378918,5,44666
47398,-73.9554177,40.7387854,2,6436
47399,-73.9554658,40.7390519,1,2704
47400,-73.9487085,40.7362842,1,2705
47401,-74.0713014,40.6208741,2,27972
47402,-73.847001,40.9015292,1,22074
47403,-73.8841804,40.8581347,3,36059
47404,-73.8843388,40.8582073,30,56363
47405,-73.9360407,40.8119775,2,31399
47406,-73.9363359,40.8122004,1,22157
47407,-73.9313758,40.8137894,45,56622
47408,-73.7054245,40.7556691,1,2706
47409,-74.0734026,40.6185804,2,22075
47410,-74.0738046,40.6187887,1,2707
47411,-74.0723591,40.620003,1,3844
47412,-74.171287,40.640518,9,51304
47413,-74.1690288,40.6398368,1,2708
47414,-74.2127971,40.5539508,4,36974
47415,-74.0604267,40.606358,2,31400
47416,-74.0823592,40.6446462,4,37822
47417,-74.0824868,40.6417122,1,2709
47418,-73.8629271,40.8963855,4,39305
47419,-73.9394169,40.8417297,3,40624
47420,-73.9392752,40.8420796,1,14810
47421,-73.9400452,40.8386183,1,12793
47422,-73.9398419,40.8386617,2,37823
47423,-73.9441028,40.8407273,4,42743
47424,-73.9073726,40.756995,21,55844
47425,-73.9454337,40.8350927,5,45303
47426,-73.9455412,40.8349265,2,33973
47427,-73.942224,40.828736,3,43610
47428,-73.9456168,40.8351701,11,53054
47429,-73.9754309,40.6161344,1,8692
47430,-73.8206616,40.6071272,4,29793
47431,-74.0658171,40.6044928,4,40625
47432,-74.0888425,40.639006,1,2710
47433,-74.086495,40.6356525,1,2711
47434,-74.0940986,40.6340148,2,18719
47435,-74.1022136,40.6368223,1,2712
47436,-74.1029927,40.6369677,6,46660
47437,-74.108589,40.6376316,1,2713
47438,-73.9191149,40.8808487,1,16816
47439,-73.9111133,40.7537363,1,6437
47440,-73.9098884,40.7579539,3,33974
47441,-73.9107769,40.7568588,1,2714
47442,-73.9163032,40.8849049,1,12794
47443,-73.9125474,40.8889687,1,6438
47444,-73.9120415,40.8889311,2,20053
47445,-73.9095098,40.8894709,2,24010
47446,-73.9084923,40.8931935,3,32773
47447,-73.9088417,40.8932823,1,8693
47448,-73.9124857,40.8908271,1,2715
47449,-73.9091341,40.8919487,1,2716
47450,-73.9088977,40.8932131,2,26646
47451,-73.9162713,40.8916561,1,2717
47452,-73.9136603,40.8922573,3,23195
47453,-73.9148667,40.8946928,1,2718
47454,-74.1434125,40.593496,1,2719
47455,-74.1427419,40.58871,1,6439
47456,-74.1441508,40.5885918,2,23196
47457,-74.1472018,40.5870898,1,2720
47458,-74.136083,40.5972813,5,43982
47459,-74.1418518,40.5960728,16,54783
47460,-74.2107965,40.5223298,1,2721
47461,-74.2053285,40.5270855,1,2722
47462,-73.9099368,40.8928795,1,4750
47463,-73.9099816,40.892614,2,24710
47464,-73.9112013,40.8949502,4,37824
47465,-73.9114068,40.8946397,2,29794
47466,-73.912994,40.8940522,1,2723
47467,-73.9124361,40.8949342,1,26484
47468,-73.9127608,40.8943786,3,31401
47469,-73.9126161,40.8942089,4,32774
47470,-73.9124868,40.8950036,5,39306
47471,-73.9128953,40.8941595,2,6440
47472,-73.9125947,40.8950296,1,2724
47473,-74.0865141,40.6272709,1,2725
47474,-74.1531277,40.6350803,3,29795
47475,-74.1081355,40.6223156,1,2726
47476,-74.1329311,40.6288214,1,2727
47477,-73.911748,40.8953736,1,2728
47478,-73.9110691,40.897594,4,36060
47479,-73.9101504,40.8959125,1,2729
47480,-74.1357015,40.5753787,1,2730
47481,-74.1348114,40.5757436,1,3845
47482,-74.1351922,40.5761283,1,3846
47483,-74.1324967,40.5735534,2,23197
47484,-74.1329223,40.5728752,1,2731
47485,-74.1404111,40.5745623,1,2732
47486,-73.9098501,40.8965703,3,33975
47487,-73.909093,40.898552,1,2733
47488,-74.1970577,40.5126109,2,6441
47489,-74.1989069,40.5127869,1,3847
47490,-74.2064909,40.5124445,1,2734
47491,-74.2056332,40.5133013,3,29796
47492,-74.2046738,40.5134803,5,39307
47493,-74.2037541,40.5136472,1,24711
47494,-74.2060042,40.5139733,4,38569
47495,-74.2052523,40.514454,2,6442
47496,-74.205377,40.5147088,1,2735
47497,-74.2155858,40.5244434,2,24712
47498,-74.2150521,40.5255372,1,4751
47499,-74.21264,40.5261823,2,24713
47500,-74.2098574,40.5214067,2,24714
47501,-74.2144743,40.5470835,1,6443
47502,-74.2133772,40.5473956,2,24715
47503,-74.2144773,40.5394579,1,2736
47504,-74.2149533,40.539477,2,6444
47505,-74.214412,40.5401093,3,24716
47506,-74.213025,40.5392625,1,2737
47507,-74.2085298,40.529721,2,31402
47508,-74.2014061,40.5190304,3,23198
47509,-74.199992,40.5197707,1,2738
47510,-74.1883256,40.5215836,1,2739
47511,-74.206777,40.5130845,1,2740
47512,-74.2064517,40.5131462,2,7829
47513,-74.1744169,40.5238248,1,2741
47514,-74.1805827,40.5246393,1,2742
47515,-74.1813251,40.5297514,1,2743
47516,-74.1325931,40.632165,1,2744
47517,-73.9326544,40.6302315,4,40626
47518,-74.1420826,40.6296536,1,2745
47519,-74.1452523,40.6211787,1,2746
47520,-74.1451867,40.6235117,1,2747
47521,-73.9392469,40.8418306,2,24011
47522,-73.9568442,40.8175078,3,38570
47523,-73.7273958,40.6573958,1,2748
47524,-74.1332668,40.6145344,3,35067
47525,-74.1375666,40.6159982,2,25075
47526,-74.1376962,40.6160164,3,33976
47527,-74.1539553,40.6295811,4,35068
47528,-74.1544525,40.6296244,2,6445
47529,-74.1655043,40.6215076,1,2749
47530,-74.1653963,40.6218637,2,6446
47531,-74.1653556,40.6219954,1,3848
47532,-73.89906,40.6572382,6,48626
47533,-73.8970065,40.6575173,1,29797
47534,-73.8728451,40.6549517,3,27390
47535,-74.1530938,40.5989131,9,51823
47536,-74.148065,40.587612,1,3849
47537,-74.1479966,40.587889,2,6447
47538,-73.8923072,40.6999172,1,2750
