id,name,category
0,The National 9/11 Memorial & Museum,1
1,Madison Square Garden,2
2,American Museum of Natural History,4
3,Ellis Island,1
4,New York Public Library,4
5,Gulliver's Gate,4
6,Greenwich Village,3
7,St. Patrick's Cathedral,0
8,"Intrepid Sea, Air & Space Museum",4
9,The Roosevelt Island Tramway,5
10,Chelsea Market,3
11,The Oculus,1
12,Bloomingdale's,3
13,Madame Tussauds New York,4
14,Friends Building,1
15,Museum of Illusions,4
16,Wollman Rink,5
17,Lincoln Square,2
18,David H. Koch Theater,2
19,Gapstow Bridge,5
20,Hans Christian Andersen Statue,1
21,Helen Hayes Theatre,2
22,Greeley Square Park,3
23,Gramercy Park,5
24,The Players Theatre,2
25,Greenflea Flea Market,3
26,Statue of Confucius,1
27,American Merchant Marines Memorial,1
28,The Governors Ball Music Festival,2
29,Alphabet City,3
30,Conservatory Water,5
31,Rockefeller Plaza Manhattan New York City,5
32,Delacorte Clock,5
33,Jean Dubuffet - Group of Four Trees,1
34,Cunard Building,1
35,Center for Jewish History,4
36,Marilyn Monroe's subway grate,1
37,The Drawing Center,4
38,Church of St. Francis Xavier,0
39,26th Street Flea Market,3
40,One Chase Manhattan Plaza,1
41,Nuyorican Poet's Cafe,2
42,Miriam and Ira D. Wallach Art Gallery,4
43,Lady Liberty,1
44,Aqueduct Race Track,3
45,Dante Park,5
46,Carnegie Hill,1
47,Merkin Concert Hall,2
48,The Studio Museum in Harlem,4
49,"New Era Factory Outlet, Inc.",3
50,Joker Stairs,1
51,Beresford,1
52,Christ Church,0
53,America's Response Monument,1
54,Astor Place,1
55,Barrymore Theater,2
56,Wagner Cove,5
57,Throgs Neck Bridge,5
58,National Park Service - Information Center on Liberty Island,1
59,De Witt Clinton Park,5
60,Christopher Columbus Statue,1
61,Skirball Center for the Performing Arts at NYU,2
62,National Academy of Design Museum,4
63,Ralph Bunche Park,1
64,The Ansonia,1
65,Italian American Museum,4
66,79th Street Boat Basin,5
67,Alexander Hamilton Statue,1
68,Inwood Park,5
69,The Chanin Building,1
70,I Heart Radio Theater,2
71,The Northern Dispensary,1
72,Sperone Westwater,4
73,Logos Bookstore,3
74,New York Grand Opera,0
75,Canyon of Heroes,1
76,Greater Zion Hill Baptist Church,0
77,Giuseppe Garibaldi Statue,1
78,The Lowline Lab,4
79,Church of the Holy Trinity,1
80,Castle Williams,1
81,The Broken Kilometer,4
82,Foxwoods Theater,2
83,Grey Art Gallery NYU,4
84,William Cullen Bryant Statue,1
85,Port Authority Bus Terminal,1
86,Larry's Freewheeling,3
87,China Institute,4
88,Fantasy Forest Amusement Park at the Flushing Meadows Carousel,5
89,Citicorp Center,1
