id,name,category
0,Graceland,1
1,Memphis Zoo,5
2,National Civil Rights Museum - Lorraine Motel,4
3,Sun Studio,4
4,Bass Pro Shops at the Pyramid,3
5,Stax Museum of American Soul Music,4
6,Big River Crossing,5
7,Slave Haven / Burkle Estate Museum,4
8,Memphis Rock 'n' Soul Museum,4
9,Old Dominick Distillery,3
